ctx-lh-lateralorbitofrontal,ctx-lh-parsorbitalis,ctx-lh-frontalpole,ctx-lh-medialorbitofrontal,ctx-lh-parstriangularis,ctx-lh-parsopercularis,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-caudalmiddlefrontal,ctx-lh-precentral,ctx-lh-paracentral,ctx-lh-rostralanteriorcingulate,ctx-lh-caudalanteriorcingulate,ctx-lh-posteriorcingulate,ctx-lh-isthmuscingulate,ctx-lh-postcentral,ctx-lh-supramarginal,ctx-lh-superiorparietal,ctx-lh-inferiorparietal,ctx-lh-precuneus,ctx-lh-cuneus,ctx-lh-pericalcarine,ctx-lh-lateraloccipital,ctx-lh-lingual,ctx-lh-fusiform,ctx-lh-parahippocampal,ctx-lh-entorhinal,ctx-lh-temporalpole,ctx-lh-inferiortemporal,ctx-lh-middletemporal,ctx-lh-bankssts,ctx-lh-superiortemporal,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-lateralorbitofrontal,ctx-rh-parsorbitalis,ctx-rh-frontalpole,ctx-rh-medialorbitofrontal,ctx-rh-parstriangularis,ctx-rh-parsopercularis,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-caudalmiddlefrontal,ctx-rh-precentral,ctx-rh-paracentral,ctx-rh-rostralanteriorcingulate,ctx-rh-caudalanteriorcingulate,ctx-rh-posteriorcingulate,ctx-rh-isthmuscingulate,ctx-rh-postcentral,ctx-rh-supramarginal,ctx-rh-superiorparietal,ctx-rh-inferiorparietal,ctx-rh-precuneus,ctx-rh-cuneus,ctx-rh-pericalcarine,ctx-rh-lateraloccipital,ctx-rh-lingual,ctx-rh-fusiform,ctx-rh-parahippocampal,ctx-rh-entorhinal,ctx-rh-temporalpole,ctx-rh-inferiortemporal,ctx-rh-middletemporal,ctx-rh-bankssts,ctx-rh-superiortemporal,ctx-rh-transversetemporal,ctx-rh-insula
0.001149293,0,0,0,0.005021521,0,0.00013947,0,0,0,0,0,0,0.000391389,0.669019054,0,0,17.90653772,0.086716341,32.28596271,0,64.91897233,4.615314327,2.114343029,0.002224694,0.001557632,0,0,0.006695634,0.006732999,0.000477327,0.014355934,0.002063983,0.006393862,0.010627915,0.030122046,0,0,0.007311978,0,0.000391134,0,0,0,0,0,0,0,0.100956938,0,0,0.250502344,0.002921288,0.235638147,53.06534844,61.15124442,0.761351737,31.15394484,0.014801999,0,0,0,0.01783655,0.032489313,0.000485437,0.005044931,0,0.014923547
0.003969731,0.00120919,0,0.002749613,0.001215559,0,0.000145985,0,0,0,0,0,0,0.000447427,5.214621988,0,0,0.276109076,0.026125402,4.119864072,159.2806324,0,3.137034161,87.00187196,0.321354214,0.03985056,0.00063674,0.00110957,0.104634674,0.043843797,0,0.009361912,0,0.005571031,0.044983102,0.157583307,0,0.001187825,0.045062696,0,0.001632653,0,0,0,0,0,0,0,0.089830508,0,0,0.084082207,0.008405716,0.012448549,1.699458226,17.08420209,2.944754181,110.0743388,0.026628431,0.001157742,0,0,0.105441902,0.175351871,0.001724138,0.034036195,0,0.061048441
0.008266015,0.001961484,0,0.001456983,0.01712862,0,0.000370233,0,0,0.000179211,0,0,0,0,0.177619585,0.000337003,0.002371256,6.663200119,22.96628131,0.334525228,6.90880848,3.195652174,0,23.30460377,24.55035611,0.000719424,0.000724047,0.000173717,15.7580138,4.91252726,0.007854774,0.10794125,0.002948403,0.017364793,0.002304567,0.006835147,0.000198511,0,0.003535198,0,0.000353857,0,0,0,0,0,0,0,0.031097135,0,0,0.094083555,0.007610764,0.019475069,0.393166886,0.133051336,0.863669611,0.054058057,0.000113173,0,0,0,0.001479655,0.003025853,0.000351247,0.007817981,0,0.007900019
0.021986009,0.005116725,0,0.013006275,0.01598579,0.000217202,0.000120149,0,0,0,0,0,0,0.000539374,15.82400488,0,0,0.033615652,0.002349782,7.103895078,1.648612504,54.80381879,17.89313208,0,50.1803759,13.09548555,0.013471332,0.00885361,1.085347201,0.429911312,0,0.052106064,0,0.03495951,0.008328273,0.01754101,0.00039116,0.00020659,0.007453416,0,0,0,0,0,0,0.000337952,0,0,0.015417823,0,0,0.013847424,0.002597278,0.002634229,0.238028824,0.884926471,3.546483491,37.69210958,0.009598741,0,0,0,0.043231241,0.035063674,0,0.007870864,0,0.014502433
0.001795117,0.000167238,0,0.00414651,0.0001472,0,0,0,0,0,0,0,0,0,0.043222965,0,0,0,0.000339285,0.004901427,0.003764867,0.594188467,26.57441308,59.62495533,0,64.93854843,27.80189959,11.55172977,71.12662132,0.037982973,0,0.016228154,0,0.004169035,0.000116063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003348455,0.217730048,0.000434428,0,0,0,0.000190313,0.000258442,0,0,0,0
0,0,0,0,0,0,0,0,0,0.000262674,0.002279202,0,0,0.001513432,5.144341541,0.000560119,0,0.00015266,0.000127033,0.005319654,0.000519211,0.0124533,0.000359712,11.34881455,67.40638961,0,18.32044478,0.006333409,0.014632431,0,0.00091617,0.000615716,0,0,0,0,0,0,0,0,0,0,0,0,0.001151853,0,0,0.000428082,0.000918274,0,0,0,0,0,0,0,0,0.001559576,0,0,0.001049593,0,0,0,0.000465549,0,0,0
0.110833523,0,0,0.013711152,0,0,0,0,0,0,0,0,0,0,0.00137741,0,0,0,0,0,0.000528961,0,0,0.012157056,32.27781547,21.16047511,0,18.98988506,0.045107466,0.000890736,0,0.00773874,0,10.39318612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000946223,0,0,0.000534759,0,0,0,0,0,0,0
0.323408846,0.000442772,0,3.140295959,0.001301871,0,0,0,0,0,0,0.000796495,0,0,0.000414938,0,0,0,0,0,0,0.00332871,0,0.011906579,18.45904047,0.001357159,14.23356322,0,7.13992333,4.872990815,0,35.59091588,0,15.06687329,0.012870276,0,0,0.008308157,0,0,0,0,0,0,0,0.004783545,0,0,0,0,0,0,0,0,0,0,0,0.000881705,0,0,0,0.000415541,0.000736594,0.000126791,0,0.000150886,0,0.01326624
0.001049098,0.000139753,0,0.000356676,0.001254784,0,0,0.000182576,0.000102664,0.01196144,0.001035465,0,0,0,0.009579855,0.032250347,0.046590202,0.053933356,2.891905441,0.021724438,0.037467056,0.716322114,17.87112217,2.473416947,80.24879819,0.018009145,0.053450226,5.664704272,0,89.66127265,0.030096887,0.388783434,0.002712886,0.003629764,0.000306373,0.000844238,0,0,0.000248339,0,0.000155624,0,0,0,0.000519615,0,0,0,0.002062848,9.66E-05,8.84E-05,0.000588235,0.000138658,0.001431025,0.00137836,0.008149959,0.086831512,0.480631363,0.000192613,0,0,0,0.000941378,0.001329787,0,0.000954488,0,0.001186752
0.023053502,0.001026468,0.000161251,0.005820433,0.006681077,0.0625565,0.000166452,0.004286912,0.001594981,0.25138423,0.00270636,0,0.000149131,0.001081008,0.03084206,0.052800712,3.745302905,0.106915458,21.2816026,0.154076439,0.046682128,0.3766795,4.815216865,2.025904422,0.056038919,0.000147678,0.00415677,2.589839265,82.65756426,0,39.27872632,64.49511285,0.007620257,0.059162812,0.000951777,0.001033821,0,0,0.000259151,0,0,0.000639877,0,8.13E-05,0.001765825,0,0.000149824,0,0.006199986,0.000299491,0.000911494,0.00147008,0.000212947,0.006997832,0.001734355,0.008109162,0.097445039,0.68311672,0.000298582,0,0,0,0.002379064,0.002169023,0.000724061,0.002591947,0.000482276,0.001903056
