ctx-lh-lateralorbitofrontal,ctx-lh-parsorbitalis,ctx-lh-frontalpole,ctx-lh-medialorbitofrontal,ctx-lh-parstriangularis,ctx-lh-parsopercularis,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-caudalmiddlefrontal,ctx-lh-precentral,ctx-lh-paracentral,ctx-lh-rostralanteriorcingulate,ctx-lh-caudalanteriorcingulate,ctx-lh-posteriorcingulate,ctx-lh-isthmuscingulate,ctx-lh-postcentral,ctx-lh-supramarginal,ctx-lh-superiorparietal,ctx-lh-inferiorparietal,ctx-lh-precuneus,ctx-lh-cuneus,ctx-lh-pericalcarine,ctx-lh-lateraloccipital,ctx-lh-lingual,ctx-lh-fusiform,ctx-lh-parahippocampal,ctx-lh-entorhinal,ctx-lh-temporalpole,ctx-lh-inferiortemporal,ctx-lh-middletemporal,ctx-lh-bankssts,ctx-lh-superiortemporal,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-lateralorbitofrontal,ctx-rh-parsorbitalis,ctx-rh-frontalpole,ctx-rh-medialorbitofrontal,ctx-rh-parstriangularis,ctx-rh-parsopercularis,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-caudalmiddlefrontal,ctx-rh-precentral,ctx-rh-paracentral,ctx-rh-rostralanteriorcingulate,ctx-rh-caudalanteriorcingulate,ctx-rh-posteriorcingulate,ctx-rh-isthmuscingulate,ctx-rh-postcentral,ctx-rh-supramarginal,ctx-rh-superiorparietal,ctx-rh-inferiorparietal,ctx-rh-precuneus,ctx-rh-cuneus,ctx-rh-pericalcarine,ctx-rh-lateraloccipital,ctx-rh-lingual,ctx-rh-fusiform,ctx-rh-parahippocampal,ctx-rh-entorhinal,ctx-rh-temporalpole,ctx-rh-inferiortemporal,ctx-rh-middletemporal,ctx-rh-bankssts,ctx-rh-superiortemporal,ctx-rh-transversetemporal,ctx-rh-insula
0,0,0,0.000491099,0.000549677,0.002951862,0,6.306409378,0.001669449,30.53648367,0,0,0.24691358,68.11033871,0.718648695,13.38025462,0.009841443,3.759001314,0.000899483,31.38821871,0,0,0,0,0,0.000368732,0,0,0.008901147,0.005659528,0.000333222,0.000272257,0,0,0,0.000731395,0,0.000222346,0.001610738,0.002867726,0.000112797,0.959526568,0.005930319,6.056231641,134.603997,0,0.02486135,2.44209499,0.004860267,6.24646693,0.070925078,1.367487305,0.001845287,11.38188766,0,0,0,0,0,0.003039514,0.000682477,0,0,0.014324293,0.008164714,0.014436346,0.007033998,0.091718001
0.292845258,0.000398724,0.015812592,47.08319096,0.000296692,0,0.007457669,31.71392103,0,0,0,0,58.30341443,0.391646586,0.016150235,0,0,0,0.000115929,0.007522486,0,0,0.000324965,0.000817216,0,0,0,0.001521491,0,0,0,0.000565131,0,0.001114082,0.080323606,0.000405433,0.023447244,26.8946684,0.002024877,0.00331929,0.005815644,9.734975453,0,0,0,130.8511467,3.539740038,0.128296507,0.022583732,0,0,0,0,0.012909395,0,0,0.000170329,0.000269542,0,0,0,0.014561196,0.004854715,0.00036368,0,0.000294226,0,0.017542049
0,0.000470035,0,0.00817757,0,0,0.003333761,20.25852249,0,0.000125227,0.323935876,32.70047025,0,20.37225476,0.241016652,0.000357398,0.000299963,0.000861883,0,0.882727352,0.000494927,0,0,0.00060781,0,0,0,0,0,0.000420994,0,0.000298619,0,0.000243457,0,0,0,0.002598077,0.003575492,0.002545249,0.00450286,8.491450562,0.000421274,0.000130005,0.026749725,8.066822067,60.57629705,1.606679035,0.167562724,0,0,0,0.000103648,0.263827621,0.000452182,0,0.000182133,0,0,0,0,0,0,0,0,0.000467508,0,0.002015677
0,0,0,0.000488878,0,0,0,6.286886565,0,0.006240971,63.75713652,0.11437751,22.54538799,0,19.29874534,0.028101549,0.000136342,0.064494986,0,12.50847458,0.000372093,0,0,0.000252685,0,0,0,0,0,0.000256641,0,0.000678933,0.000452489,0.000209446,0.000182548,0,0,0.000221435,0.00026713,0.000237925,0,0.432213545,0,0.005024524,1.189634865,0.026564004,1.816179263,79.21293452,21.30424284,0.00547504,0.00695753,0.042452225,0,5.46776406,0.001042209,0,0,0,0,0,0,0,0,0.000937262,0.000352671,0.004093732,0.0023245,0.008573655
0.00182002,0,0,0.0005493,0.000311818,0,0,0.020450751,0,0.000487656,0.18324518,0.006760563,0.135407537,22.77822991,0,0.00481679,0.000435761,0.123145504,0.005081241,64.8858271,0.229273743,0.455843469,0.04573527,13.33456878,0.001900238,2.725279544,0,0.000405597,0.000530152,0.000136184,0.000389181,0.001880107,0.003409091,0,0.002187749,0.006079027,0,0,0.008501594,0,0.000118568,0.003175829,0,0,0.004412763,0.00419092,0.066422355,0.54153264,54.25724786,0,0.001395565,0.099360283,0.000506842,6.900834561,0.412188594,0.054314721,0.02260184,0.12716763,0,0.005139356,0,0,0.000584795,0.001607816,0.002515196,0.009195056,0.002351558,0.017727467
0.00024216,0,0,0,0.003987119,0.048034036,0.001235658,0.034719498,0.00725207,60.63474146,17.2686364,0,0,0.034168929,0.006020987,0,32.2197382,20.52561353,0.332271897,2.165884194,0,0,0.000644815,0,0,0.000357494,0,0.000173025,0.335850447,0.186731726,0.008838277,4.344527546,10.84706346,15.02153564,0,0.000178031,0,0,0.000302686,0.000707514,8.51E-05,0.000735073,0,0.066292435,9.012619808,0,0,0.000335768,0,1.107670267,0.008399058,0.546102617,0.000531148,1.072997347,0,0,0,0,0,0.000855652,0,0,0,0.002456248,0.000701816,0.001407318,0.000199402,0.021135568
0.000428702,0,0,0,0.015146526,0.220626944,0.00193525,0.004399499,0.004280364,1.597632666,0.050847458,0,0,0.001227078,0.001016777,40.58969456,0,51.82704946,34.3611457,0.201218922,0,0,0.008095215,0,9.35E-05,0,0,0,3.662629395,7.91669864,4.994823868,19.46415929,7.856805793,6.235706085,0,0,0,0,0,0,0,0.000124719,0,8.13E-05,0.031235081,0,0,0.000142288,0.000146316,0.004632596,0.00083068,0.0043469,7.02E-05,0.018672891,0,0,0,0,0,0,0,0,0,0.000240558,0.000886132,0.00099823,0.000164298,0.00165426
0.009870643,0.001850797,0,0.005648699,0.011411906,0.013407305,0.000315072,0.003121342,0.000103745,1.212932774,5.54086728,0,0,0.228092023,0.485616772,24.17774601,41.68125216,0,79.4020697,53.56570407,14.56469568,0.565253786,4.866501101,0.034566996,9.10E-05,0.001724138,0,0.000279916,0.374003027,0.23963402,0.055455925,0.19829222,0.045189844,0.018991559,0.001442184,0.002148228,0,0.000114345,0.002884736,0.000355766,0.000152515,0.000489896,0,0.004130754,0.264769523,0,0,0.006145862,0.077435646,0.043009723,0.02857528,0.442023864,0.000962563,1.252305269,1.187816545,0.101511392,0.422066044,0.105883783,0.00018828,0,0,0,0.000260428,0.003055229,0.003821656,0.024837583,0.006582556,0.059285371
0.007792089,0.003851709,0.0002664,0.003435889,0.019410065,0.00462963,0.001001466,0.000724496,0.0001831,0.03988423,0.008882393,0,0,0.000112202,0.038641064,0.493610156,28.31553549,74.59899559,0,1.00654637,0.146689428,0.027500159,31.15546447,0.002217295,0.003176284,0.000242601,0,0,11.12010956,35.72885432,18.62158678,0.859838484,0.12584968,0.015454899,0.000363918,0.000604851,0,0,0.000540132,0,0,5.68E-05,0,0,0.006958864,0,0,0,0.005824666,0.000767689,0,0.011569813,0,0.02078761,0.025977121,0.008445201,0.049524462,0.001051525,0,0,0,0,0,0.000213538,0.000119775,0.001587617,0.000130472,0.001502982
0.009050313,0.00172503,0,0.002819483,0.00840904,0.002962963,0.000348781,0.153183217,0,0.052938653,21.35406549,0.003270646,0.281279972,15.79989065,66.64017475,2.122497437,0.034536132,37.11786285,0.230465799,0,39.53356766,2.661177131,0.036850744,6.186206897,0.00010238,0.100296529,0,0.000168976,0.014457831,0.058635543,0.031717038,0.112182888,0.036642686,0.007843642,0.026885207,0.06011641,0.000377822,0.000532021,0.090275719,0.000832697,0.004038195,0.027213136,0,0.019979756,1.159646792,0.001428571,0.090320291,1.120426579,1.673133949,0.011940299,0.07786699,0.760220381,0.006007133,88.17796832,9.575922462,1.753988013,0.013755459,0.179597085,0.001064339,0.00183885,0.000168025,0.000171527,0.001068739,0.033194661,0.033230558,0.302780945,0.046182206,0.415637101
