Record Number	X coor	Y coor	Z coor	Level 1	Level 2	Level 3	Level 4	Level 5	Appended Data
111	-40.0	-55.0	-10.0	Left Cerebrum	Occipital Lobe	Sub-Gyral	White Matter	*	
112	-32.0	-46.0	-24.0	Left Cerebellum	Anterior Lobe	Culmen	Gray Matter	*	
113	-22.0	-32.0	-16.0	Left Cerebellum	Anterior Lobe	Culmen	Gray Matter	*	
114	-20.0	-53.0	-13.0	Left Cerebellum	Posterior Lobe	Declive	Gray Matter	*	
115	-46.0	0.0	-12.0	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	White Matter	*	
116	-41.0	8.0	-26.0	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	White Matter	*	
117	-26.0	2.0	-31.0	Left Cerebrum	Temporal Lobe	Sub-Gyral	White Matter	*	
118	-54.0	-49.0	26.0	Left Cerebrum	Parietal Lobe	Supramarginal Gyrus	White Matter	*	
119	-51.0	-44.0	41.0	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	White Matter	*	
120	-51.0	-57.0	14.0	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	
121	-48.0	-60.0	30.0	Left Cerebrum	Parietal Lobe	Angular Gyrus	White Matter	*	
122	-39.0	-61.0	44.0	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	White Matter	*	
123	-57.0	-28.0	33.0	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	White Matter	*	
124	-57.0	-24.0	16.0	Left Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 40	
125	-55.0	-38.0	23.0	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	White Matter	*	
126	-44.0	-32.0	44.0	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	*	*	
127	-55.0	-11.0	8.0	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	White Matter	*	
128	-39.0	-28.0	15.0	Left Cerebrum	Sub-lobar	Insula	White Matter	*	
129	-52.0	15.0	14.0	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 44	
130	-35.0	5.0	11.0	Left Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	
131	-51.0	29.0	6.0	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	White Matter	*	
132	-32.0	22.0	4.0	Left Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	
133	-40.0	41.0	11.0	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 10	
134	-44.0	40.0	-5.0	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	White Matter	*	
135	-44.0	19.0	-8.0	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	White Matter	*	
136	-28.0	35.0	-12.0	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	White Matter	*	
137	-25.0	16.0	-16.0	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	White Matter	*	
138	-14.0	-15.0	20.0	Left Cerebrum	Sub-lobar	Extra-Nuclear	White Matter	*	
139	-12.0	7.0	13.0	Left Cerebrum	Sub-lobar	Caudate	Gray Matter	Caudate Body	
140	-11.0	18.0	2.0	Left Cerebrum	Sub-lobar	Caudate	Gray Matter	Caudate Head	
141	-23.0	4.0	2.0	Left Cerebrum	Sub-lobar	Lentiform Nucleus	Gray Matter	Putamen	
142	-10.0	4.0	-6.0	Left Cerebrum	Sub-lobar	Extra-Nuclear	White Matter	*	
143	-18.0	-35.0	15.0	Left Cerebrum	Sub-lobar	Lateral Ventricle	Cerebro-Spinal Fluid	*	
144	-10.0	-26.0	3.0	Left Cerebrum	Sub-lobar	Thalamus	Gray Matter	Pulvinar	
145	-3.0	-10.0	8.0	Left Cerebrum	Sub-lobar	Thalamus	Gray Matter	Medial Dorsal Nucleus	
146	-23.0	-5.0	-15.0	Left Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Amygdala	
147	-28.0	-20.0	-9.0	Left Cerebrum	Temporal Lobe	Sub-Gyral	White Matter	*	
148	-27.0	-38.0	-1.0	Left Cerebrum	Temporal Lobe	Sub-Gyral	Gray Matter	Hippocampus	
149	-4.0	-24.0	-9.0	Left Brainstem	Midbrain	*	*	*	
150	19.0	-29.0	64.0	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 4	
151	35.0	-24.0	57.0	Right Cerebrum	Frontal Lobe	Precentral Gyrus	White Matter	*	
152	42.0	-26.0	38.0	Right Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 2	
153	59.0	-9.0	23.0	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 4	
154	45.0	-15.0	42.0	Right Cerebrum	Frontal Lobe	Precentral Gyrus	White Matter	*	
155	5.0	12.0	53.0	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	White Matter	*	
156	7.0	-11.0	61.0	Right Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 6	
157	17.0	9.0	60.0	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	White Matter	*	
158	26.0	-9.0	60.0	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 6	
